date,total_stock,occupancy_rate
2020-03-16,401,80.2
2020-03-17,401,80.2
2020-03-18,396,79.2
2020-03-19,387,77.4
2020-03-20,383,76.6
2020-03-21,379,75.8
2020-03-22,364,72.8
2020-03-23,340,68.0
2020-03-24,335,67.0
2020-03-25,330,66.0
2020-03-26,323,64.60000000000001
2020-03-27,315,63.0
2020-03-28,310,62.0
2020-03-29,294,58.8
2020-03-30,281,56.2
2020-03-31,277,55.400000000000006
2020-04-01,270,54.0
2020-04-02,259,51.800000000000004
2020-04-03,249,49.8
2020-04-04,239,47.8
2020-04-05,208,41.6
2020-04-06,193,38.6
2020-04-07,193,38.6
2020-04-08,183,36.6
2020-04-09,179,35.8
2020-04-10,175,35.0
2020-04-11,167,33.4
2020-04-12,149,29.799999999999997
2020-04-13,136,27.200000000000003
2020-04-14,130,26.0
2020-04-15,121,24.2
2020-04-16,115,23.0
2020-04-17,107,21.4
2020-04-18,99,19.8
2020-04-19,479,95.8
2020-04-20,467,93.4
2020-04-21,467,93.4
2020-04-22,460,92.0
2020-04-23,456,91.2
2020-04-24,451,90.2
2020-04-25,446,89.2
2020-04-26,434,86.8
2020-04-27,410,82.0
2020-04-28,405,81.0
2020-04-29,398,79.60000000000001
2020-04-30,392,78.4
2020-05-01,385,77.0
2020-05-02,376,75.2
2020-05-03,357,71.39999999999999
2020-05-04,326,65.2
2020-05-05,326,65.2
2020-05-06,320,64.0
2020-05-07,314,62.8
2020-05-08,308,61.6
2020-05-09,302,60.4
2020-05-10,278,55.60000000000001
2020-05-11,257,51.4
2020-05-12,253,50.6
2020-05-13,248,49.6
2020-05-14,242,48.4
2020-05-15,236,47.199999999999996
2020-05-16,229,45.800000000000004
2020-05-17,205,41.0
2020-05-18,190,38.0
2020-05-19,190,38.0
2020-05-20,182,36.4
2020-05-21,178,35.6
2020-05-22,174,34.8
2020-05-23,169,33.800000000000004
2020-05-24,157,31.4
2020-05-25,142,28.4
2020-05-26,135,27.0
2020-05-27,131,26.200000000000003
2020-05-28,123,24.6
2020-05-29,115,23.0
2020-05-30,108,21.6
2020-05-31,96,19.2
2020-06-01,479,95.8
2020-06-02,479,95.8
2020-06-03,473,94.6
2020-06-04,467,93.4
2020-06-05,457,91.4
2020-06-06,452,90.4
2020-06-07,425,85.0
2020-06-08,398,79.60000000000001
2020-06-09,390,78.0
2020-06-10,386,77.2
2020-06-11,377,75.4
2020-06-12,370,74.0
2020-06-13,363,72.6
2020-06-14,345,69.0
2020-06-15,330,66.0
2020-06-16,330,66.0
2020-06-17,323,64.60000000000001
2020-06-18,315,63.0
2020-06-19,310,62.0
2020-06-20,302,60.4
2020-06-21,284,56.8
2020-06-22,266,53.2
2020-06-23,260,52.0
2020-06-24,252,50.4
2020-06-25,244,48.8
2020-06-26,238,47.599999999999994
2020-06-27,234,46.800000000000004
2020-06-28,213,42.6
2020-06-29,189,37.8
2020-06-30,183,36.6
2020-07-01,177,35.4
2020-07-02,169,33.800000000000004
2020-07-03,161,32.2
2020-07-04,155,31.0
2020-07-05,119,23.799999999999997
2020-07-06,79,15.8
2020-07-07,487,97.39999999999999
2020-07-08,477,95.39999999999999
2020-07-09,472,94.39999999999999
2020-07-10,462,92.4
2020-07-11,452,90.4
2020-07-12,433,86.6
2020-07-13,406,81.2
2020-07-14,396,79.2
2020-07-15,391,78.2
2020-07-16,385,77.0
2020-07-17,376,75.2
2020-07-18,367,73.4
2020-07-19,335,67.0
2020-07-20,308,61.6
2020-07-21,308,61.6
2020-07-22,298,59.599999999999994
2020-07-23,291,58.199999999999996
2020-07-24,284,56.8
2020-07-25,278,55.60000000000001
2020-07-26,259,51.800000000000004
2020-07-27,236,47.199999999999996
2020-07-28,226,45.2
2020-07-29,221,44.2
2020-07-30,215,43.0
2020-07-31,205,41.0
2020-08-01,200,40.0
2020-08-02,180,36.0
2020-08-03,145,28.999999999999996
2020-08-04,145,28.999999999999996
2020-08-05,132,26.400000000000002
2020-08-06,122,24.4
2020-08-07,112,22.400000000000002
2020-08-08,106,21.2
2020-08-09,79,15.8
2020-08-10,485,97.0
2020-08-11,476,95.19999999999999
2020-08-12,470,94.0
2020-08-13,465,93.0
2020-08-14,458,91.60000000000001
2020-08-15,452,90.4
2020-08-16,421,84.2
2020-08-17,398,79.60000000000001
2020-08-18,398,79.60000000000001
2020-08-19,391,78.2
2020-08-20,381,76.2
2020-08-21,370,74.0
2020-08-22,364,72.8
2020-08-23,333,66.60000000000001
2020-08-24,318,63.6
2020-08-25,312,62.4
2020-08-26,303,60.6
2020-08-27,293,58.599999999999994
2020-08-28,284,56.8
2020-08-29,277,55.400000000000006
2020-08-30,262,52.400000000000006
2020-08-31,239,47.8
2020-09-01,234,46.800000000000004
2020-09-02,227,45.4
2020-09-03,218,43.6
2020-09-04,211,42.199999999999996
2020-09-05,201,40.2
2020-09-06,174,34.8
2020-09-07,151,30.2
2020-09-08,151,30.2
2020-09-09,143,28.599999999999998
2020-09-10,139,27.800000000000004
2020-09-11,133,26.6
2020-09-12,127,25.4
2020-09-13,112,22.400000000000002
2020-09-14,91,18.2
2020-09-15,494,98.8
2020-09-16,487,97.39999999999999
2020-09-17,480,96.0
2020-09-18,474,94.8
2020-09-19,467,93.4
2020-09-20,451,90.2
2020-09-21,439,87.8
2020-09-22,439,87.8
2020-09-23,433,86.6
2020-09-24,428,85.6
2020-09-25,420,84.0
2020-09-26,416,83.2
2020-09-27,401,80.2
2020-09-28,383,76.6
2020-09-29,377,75.4
2020-09-30,372,74.4
2020-10-01,368,73.6
2020-10-02,362,72.39999999999999
2020-10-03,353,70.6
2020-10-04,330,66.0
2020-10-05,311,62.2
2020-10-06,311,62.2
2020-10-07,306,61.199999999999996
2020-10-08,299,59.8
2020-10-09,293,58.599999999999994
2020-10-10,289,57.8
2020-10-11,274,54.800000000000004
2020-10-12,250,50.0
2020-10-13,245,49.0
2020-10-14,239,47.8
2020-10-15,232,46.400000000000006
2020-10-16,226,45.2
2020-10-17,220,44.0
2020-10-18,205,41.0
2020-10-19,190,38.0
2020-10-20,190,38.0
2020-10-21,185,37.0
2020-10-22,178,35.6
2020-10-23,171,34.2
2020-10-24,167,33.4
2020-10-25,152,30.4
2020-10-26,131,26.200000000000003
2020-10-27,122,24.4
2020-10-28,115,23.0
2020-10-29,107,21.4
2020-10-30,99,19.8
2020-10-31,492,98.4
2020-11-01,477,95.39999999999999
2020-11-02,458,91.60000000000001
2020-11-03,458,91.60000000000001
2020-11-04,448,89.60000000000001
2020-11-05,439,87.8
2020-11-06,429,85.8
2020-11-07,423,84.6
2020-11-08,396,79.2
2020-11-09,374,74.8
2020-11-10,366,73.2
2020-11-11,359,71.8
2020-11-12,352,70.39999999999999
2020-11-13,348,69.6
2020-11-14,343,68.60000000000001
2020-11-15,331,66.2
2020-11-16,319,63.800000000000004
2020-11-17,319,63.800000000000004
2020-11-18,313,62.6
2020-11-19,307,61.4
2020-11-20,303,60.6
2020-11-21,297,59.4
2020-11-22,285,56.99999999999999
2020-11-23,264,52.800000000000004
2020-11-24,257,51.4
2020-11-25,250,50.0
2020-11-26,245,49.0
2020-11-27,238,47.599999999999994
2020-11-28,230,46.0
2020-11-29,206,41.199999999999996
2020-11-30,191,38.2
2020-12-01,183,36.6
2020-12-02,168,33.6
2020-12-03,159,31.8
2020-12-04,152,30.4
2020-12-05,143,28.599999999999998
2020-12-06,103,20.599999999999998
2020-12-07,74,14.799999999999999
2020-12-08,493,98.6
2020-12-09,484,96.8
2020-12-10,474,94.8
2020-12-11,467,93.4
2020-12-12,460,92.0
2020-12-13,438,87.6
2020-12-14,411,82.19999999999999
2020-12-15,405,81.0
2020-12-16,399,79.80000000000001
2020-12-17,387,77.4
2020-12-18,377,75.4
2020-12-19,368,73.6
2020-12-20,341,68.2
2020-12-21,323,64.60000000000001
2020-12-22,323,64.60000000000001
2020-12-23,316,63.2
2020-12-24,306,61.199999999999996
2020-12-25,299,59.8
2020-12-26,292,58.4
2020-12-27,270,54.0
2020-12-28,234,46.800000000000004
2020-12-29,224,44.800000000000004
2020-12-30,212,42.4
2020-12-31,205,41.0
2021-01-01,193,38.6
2021-01-02,146,29.2
2021-01-03,71,14.2
2021-01-04,429,85.8
2021-01-05,429,85.8
2021-01-06,382,76.4
2021-01-07,342,68.4
2021-01-08,288,57.599999999999994
2021-01-09,261,52.2
2021-01-10,186,37.2
2021-01-11,110,22.0
2021-01-12,83,16.6
2021-01-13,467,93.4
2021-01-14,427,85.39999999999999
2021-01-15,400,80.0
2021-01-16,353,70.6
2021-01-17,278,55.60000000000001
2021-01-18,203,40.6
2021-01-19,203,40.6
2021-01-20,170,34.0
2021-01-21,116,23.200000000000003
2021-01-22,88,17.599999999999998
2021-01-23,453,90.60000000000001
2021-01-24,378,75.6
2021-01-25,303,60.6
2021-01-26,249,49.8
2021-01-27,202,40.400000000000006
2021-01-28,155,31.0
2021-01-29,127,25.4
2021-01-30,100,20.0
2021-01-31,24,4.8
2021-02-01,476,95.19999999999999
2021-02-02,473,94.6
2021-02-03,455,91.0
2021-02-04,419,83.8
2021-02-05,401,80.2
2021-02-06,369,73.8
2021-02-07,315,63.0
2021-02-08,248,49.6
2021-02-09,217,43.4
2021-02-10,190,38.0
2021-02-11,159,31.8
2021-02-12,123,24.6
2021-02-13,105,21.0
2021-02-14,30,6.0
2021-02-15,470,94.0
2021-02-16,478,95.6
2021-02-17,451,90.2
2021-02-18,429,85.8
2021-02-19,402,80.4
2021-02-20,375,75.0
2021-02-21,308,61.6
2021-02-22,233,46.6
2021-02-23,206,41.199999999999996
2021-02-24,175,35.0
2021-02-25,144,28.799999999999997
2021-02-26,122,24.4
2021-02-27,86,17.2
2021-02-28,425,85.0
2021-03-01,350,70.0
2021-03-02,350,70.0
2021-03-03,314,62.8
2021-03-04,278,55.60000000000001
2021-03-05,247,49.4
2021-03-06,229,45.800000000000004
2021-03-07,154,30.8
2021-03-08,79,15.8
2021-03-09,469,93.8
2021-03-10,438,87.6
2021-03-11,416,83.2
2021-03-12,397,79.4
2021-03-13,361,72.2
2021-03-14,294,58.8
2021-03-15,219,43.8
2021-03-16,219,43.8
2021-03-17,188,37.6
2021-03-18,166,33.2
2021-03-19,130,26.0
2021-03-20,102,20.4
2021-03-21,27,5.4
2021-03-22,473,94.6
2021-03-23,442,88.4
2021-03-24,415,83.0
2021-03-25,387,77.4
2021-03-26,365,73.0
2021-03-27,338,67.60000000000001
2021-03-28,263,52.6
2021-03-29,188,37.6
2021-03-30,161,32.2
2021-03-31,139,27.800000000000004
2021-04-01,108,21.6
2021-04-02,77,15.4
2021-04-03,478,95.6
2021-04-04,403,80.60000000000001
2021-04-05,328,65.60000000000001
2021-04-06,328,65.60000000000001
2021-04-07,306,61.199999999999996
2021-04-08,275,55.00000000000001
2021-04-09,244,48.8
2021-04-10,222,44.4
2021-04-11,155,31.0
2021-04-12,80,16.0
2021-04-13,482,96.39999999999999
2021-04-14,451,90.2
2021-04-15,433,86.6
2021-04-16,410,82.0
2021-04-17,388,77.60000000000001
2021-04-18,321,64.2
2021-04-19,254,50.8
2021-04-20,254,50.8
2021-04-21,236,47.199999999999996
2021-04-22,214,42.8
2021-04-23,183,36.6
2021-04-24,161,32.2
2021-04-25,106,21.2
2021-04-26,31,6.2
2021-04-27,469,93.8
2021-04-28,451,90.2
2021-04-29,414,82.8
2021-04-30,378,75.6
2021-05-01,347,69.39999999999999
2021-05-02,320,64.0
2021-05-03,297,59.4
2021-05-04,297,59.4
2021-05-05,288,57.599999999999994
2021-05-06,281,56.2
2021-05-07,274,54.800000000000004
2021-05-08,265,53.0
2021-05-09,247,49.4
2021-05-10,229,45.800000000000004
2021-05-11,223,44.6
2021-05-12,218,43.6
2021-05-13,212,42.4
2021-05-14,205,41.0
2021-05-15,200,40.0
2021-05-16,176,35.199999999999996
2021-05-17,152,30.4
2021-05-18,152,30.4
2021-05-19,145,28.999999999999996
2021-05-20,137,27.400000000000002
2021-05-21,130,26.0
2021-05-22,125,25.0
2021-05-23,101,20.200000000000003
2021-05-24,88,17.599999999999998
2021-05-25,492,98.4
2021-05-26,488,97.6
2021-05-27,481,96.2
2021-05-28,475,95.0
2021-05-29,467,93.4
2021-05-30,443,88.6
2021-05-31,428,85.6
2021-06-01,423,84.6
2021-06-02,414,82.8
2021-06-03,407,81.39999999999999
2021-06-04,398,79.60000000000001
2021-06-05,389,77.8
2021-06-06,358,71.6
2021-06-07,343,68.60000000000001
2021-06-08,343,68.60000000000001
2021-06-09,338,67.60000000000001
2021-06-10,334,66.8
2021-06-11,326,65.2
2021-06-12,319,63.800000000000004
2021-06-13,295,59.0
2021-06-14,277,55.400000000000006
2021-06-15,269,53.800000000000004
2021-06-16,263,52.6
2021-06-17,258,51.6
2021-06-18,251,50.2
2021-06-19,243,48.6
2021-06-20,222,44.4
2021-06-21,204,40.8
2021-06-22,204,40.8
2021-06-23,198,39.6
2021-06-24,190,38.0
2021-06-25,183,36.6
2021-06-26,179,35.8
2021-06-27,161,32.2
2021-06-28,146,29.2
2021-06-29,139,27.800000000000004
2021-06-30,132,26.400000000000002
2021-07-01,127,25.4
2021-07-02,121,24.2
2021-07-03,110,22.0
2021-07-04,85,17.0
2021-07-05,480,96.0
2021-07-06,480,96.0
2021-07-07,467,93.4
2021-07-08,461,92.2
2021-07-09,454,90.8
2021-07-10,445,89.0
2021-07-11,418,83.6
2021-07-12,391,78.2
2021-07-13,385,77.0
2021-07-14,376,75.2
2021-07-15,371,74.2
2021-07-16,365,73.0
2021-07-17,355,71.0
2021-07-18,336,67.2
2021-07-19,321,64.2
2021-07-20,321,64.2
2021-07-21,314,62.8
2021-07-22,304,60.8
2021-07-23,298,59.599999999999994
2021-07-24,292,58.4
2021-07-25,277,55.400000000000006
2021-07-26,258,51.6
2021-07-27,248,49.6
2021-07-28,243,48.6
2021-07-29,237,47.4
2021-07-30,230,46.0
2021-07-31,224,44.800000000000004
2021-08-01,201,40.2
2021-08-02,166,33.2
2021-08-03,166,33.2
2021-08-04,160,32.0
2021-08-05,147,29.4
2021-08-06,134,26.8
2021-08-07,124,24.8
2021-08-08,84,16.8
2021-08-09,485,97.0
2021-08-10,480,96.0
2021-08-11,473,94.6
2021-08-12,465,93.0
2021-08-13,456,91.2
2021-08-14,446,89.2
2021-08-15,415,83.0
2021-08-16,392,78.4
2021-08-17,392,78.4
2021-08-18,385,77.0
2021-08-19,375,75.0
2021-08-20,366,73.2
2021-08-21,359,71.8
2021-08-22,327,65.4
2021-08-23,311,62.2
2021-08-24,305,61.0
2021-08-25,295,59.0
2021-08-26,290,57.99999999999999
2021-08-27,281,56.2
2021-08-28,272,54.400000000000006
2021-08-29,257,51.4
2021-08-30,242,48.4
2021-08-31,233,46.6
2021-09-01,223,44.6
2021-09-02,215,43.0
2021-09-03,210,42.0
2021-09-04,201,40.2
2021-09-05,186,37.2
2021-09-06,163,32.6
2021-09-07,163,32.6
2021-09-08,158,31.6
2021-09-09,150,30.0
2021-09-10,145,28.999999999999996
2021-09-11,137,27.400000000000002
2021-09-12,116,23.200000000000003
2021-09-13,95,19.0
2021-09-14,492,98.4
2021-09-15,484,96.8
2021-09-16,480,96.0
2021-09-17,472,94.39999999999999
2021-09-18,465,93.0
2021-09-19,443,88.6
2021-09-20,422,84.39999999999999
2021-09-21,422,84.39999999999999
2021-09-22,414,82.8
2021-09-23,408,81.6
2021-09-24,403,80.60000000000001
2021-09-25,398,79.60000000000001
2021-09-26,374,74.8
2021-09-27,356,71.2
2021-09-28,351,70.19999999999999
2021-09-29,343,68.60000000000001
2021-09-30,337,67.4
2021-10-01,331,66.2
2021-10-02,324,64.8
2021-10-03,309,61.8
2021-10-04,278,55.60000000000001
2021-10-05,278,55.60000000000001
2021-10-06,271,54.2
2021-10-07,261,52.2
2021-10-08,254,50.8
2021-10-09,247,49.4
2021-10-10,226,45.2
2021-10-11,211,42.199999999999996
2021-10-12,205,41.0
2021-10-13,201,40.2
2021-10-14,195,39.0
2021-10-15,189,37.8
2021-10-16,182,36.4
2021-10-17,170,34.0
2021-10-18,155,31.0
2021-10-19,155,31.0
2021-10-20,147,29.4
2021-10-21,140,28.000000000000004
2021-10-22,134,26.8
2021-10-23,130,26.0
2021-10-24,118,23.599999999999998
2021-10-25,100,20.0
2021-10-26,93,18.6
2021-10-27,492,98.4
2021-10-28,484,96.8
2021-10-29,478,95.6
2021-10-30,470,94.0
2021-10-31,449,89.8
2021-11-01,431,86.2
2021-11-02,431,86.2
2021-11-03,422,84.39999999999999
2021-11-04,415,83.0
2021-11-05,409,81.8
2021-11-06,404,80.80000000000001
2021-11-07,385,77.0
2021-11-08,370,74.0
2021-11-09,365,73.0
2021-11-10,358,71.6
2021-11-11,351,70.19999999999999
2021-11-12,343,68.60000000000001
2021-11-13,338,67.60000000000001
2021-11-14,326,65.2
2021-11-15,308,61.6
2021-11-16,308,61.6
2021-11-17,300,60.0
2021-11-18,295,59.0
2021-11-19,287,57.4
2021-11-20,281,56.2
2021-11-21,266,53.2
2021-11-22,250,50.0
2021-11-23,242,48.4
2021-11-24,236,47.199999999999996
2021-11-25,232,46.400000000000006
2021-11-26,225,45.0
2021-11-27,219,43.8
2021-11-28,201,40.2
2021-11-29,183,36.6
2021-11-30,178,35.6
2021-12-01,169,33.800000000000004
2021-12-02,160,32.0
2021-12-03,145,28.999999999999996
2021-12-04,134,26.8
2021-12-05,99,19.8
2021-12-06,477,95.39999999999999
2021-12-07,477,95.39999999999999
2021-12-08,464,92.80000000000001
2021-12-09,452,90.4
2021-12-10,446,89.2
2021-12-11,436,87.2
2021-12-12,418,83.6
2021-12-13,387,77.4
2021-12-14,381,76.2
2021-12-15,372,74.4
2021-12-16,366,73.2
2021-12-17,357,71.39999999999999
2021-12-18,351,70.19999999999999
2021-12-19,333,66.60000000000001
2021-12-20,306,61.199999999999996
2021-12-21,306,61.199999999999996
2021-12-22,299,59.8
2021-12-23,290,57.99999999999999
2021-12-24,283,56.599999999999994
2021-12-25,272,54.400000000000006
2021-12-26,250,50.0
2021-12-27,214,42.8
2021-12-28,203,40.6
2021-12-29,196,39.2
2021-12-30,190,38.0
2021-12-31,180,36.0
2022-01-01,173,34.599999999999994
2022-01-02,133,26.6
2022-01-03,110,22.0
2022-01-04,110,22.0
2022-01-05,95,19.0
2022-01-06,487,97.39999999999999
2022-01-07,480,96.0
2022-01-08,473,94.6
2022-01-09,442,88.4
2022-01-10,411,82.19999999999999
2022-01-11,405,81.0
2022-01-12,395,79.0
2022-01-13,389,77.8
2022-01-14,382,76.4
2022-01-15,370,74.0
2022-01-16,343,68.60000000000001
2022-01-17,325,65.0
2022-01-18,325,65.0
2022-01-19,313,62.6
2022-01-20,306,61.199999999999996
2022-01-21,300,60.0
2022-01-22,290,57.99999999999999
2022-01-23,263,52.6
2022-01-24,227,45.4
2022-01-25,221,44.2
2022-01-26,212,42.4
2022-01-27,205,41.0
2022-01-28,195,39.0
2022-01-29,188,37.6
2022-01-30,161,32.2
2022-01-31,134,26.8
2022-02-01,125,25.0
2022-02-02,118,23.599999999999998
2022-02-03,108,21.6
2022-02-04,101,20.200000000000003
2022-02-05,94,18.8
2022-02-06,484,96.8
2022-02-07,460,92.0
2022-02-08,460,92.0
2022-02-09,454,90.8
2022-02-10,449,89.8
2022-02-11,442,88.4
2022-02-12,434,86.8
2022-02-13,422,84.39999999999999
2022-02-14,404,80.80000000000001
2022-02-15,397,79.4
2022-02-16,391,78.2
2022-02-17,387,77.4
2022-02-18,382,76.4
2022-02-19,375,75.0
2022-02-20,363,72.6
2022-02-21,348,69.6
2022-02-22,348,69.6
2022-02-23,343,68.60000000000001
2022-02-24,338,67.60000000000001
2022-02-25,329,65.8
2022-02-26,324,64.8
2022-02-27,300,60.0
2022-02-28,279,55.800000000000004
2022-03-01,271,54.2
2022-03-02,234,46.800000000000004
2022-03-03,207,41.4
2022-03-04,185,37.0
2022-03-05,153,30.599999999999998
2022-03-06,78,15.6
2022-03-07,446,89.2
2022-03-08,469,93.8
2022-03-09,442,88.4
2022-03-10,415,83.0
2022-03-11,379,75.8
2022-03-12,357,71.39999999999999
2022-03-13,303,60.6
2022-03-14,236,47.199999999999996
2022-03-15,214,42.8
2022-03-16,187,37.4
2022-03-17,151,30.2
2022-03-18,120,24.0
2022-03-19,98,19.6
2022-03-20,425,85.0
2022-03-21,358,71.6
2022-03-22,358,71.6
2022-03-23,326,65.2
2022-03-24,308,61.6
2022-03-25,272,54.400000000000006
2022-03-26,250,50.0
2022-03-27,196,39.2
2022-03-28,129,25.8
2022-03-29,93,18.6
2022-03-30,472,94.39999999999999
2022-03-31,441,88.2
2022-04-01,405,81.0
2022-04-02,400,80.0
2022-04-03,377,75.4
2022-04-04,350,70.0
2022-04-05,350,70.0
2022-04-06,344,68.8
2022-04-07,337,67.4
2022-04-08,327,65.4
2022-04-09,321,64.2
2022-04-10,306,61.199999999999996
2022-04-11,291,58.199999999999996
2022-04-12,285,56.99999999999999
2022-04-13,280,56.00000000000001
2022-04-14,276,55.2
2022-04-15,271,54.2
2022-04-16,266,53.2
2022-04-17,253,50.6
2022-04-18,229,45.800000000000004
2022-04-19,229,45.800000000000004
2022-04-20,222,44.4
2022-04-21,218,43.6
2022-04-22,214,42.8
2022-04-23,206,41.199999999999996
2022-04-24,194,38.800000000000004
2022-04-25,170,34.0
2022-04-26,164,32.800000000000004
2022-04-27,157,31.4
2022-04-28,153,30.599999999999998
2022-04-29,145,28.999999999999996
2022-04-30,140,28.000000000000004
2022-05-01,125,25.0
2022-05-02,106,21.2
2022-05-03,106,21.2
2022-05-04,96,19.2
2022-05-05,491,98.2
2022-05-06,481,96.2
2022-05-07,474,94.8
2022-05-08,447,89.4
2022-05-09,435,87.0
2022-05-10,429,85.8
2022-05-11,422,84.39999999999999
2022-05-12,415,83.0
2022-05-13,411,82.19999999999999
2022-05-14,403,80.60000000000001
2022-05-15,382,76.4
2022-05-16,367,73.4
2022-05-17,367,73.4
2022-05-18,362,72.39999999999999
2022-05-19,355,71.0
2022-05-20,351,70.19999999999999
2022-05-21,344,68.8
2022-05-22,332,66.4
2022-05-23,311,62.2
2022-05-24,303,60.6
2022-05-25,299,59.8
2022-05-26,291,58.199999999999996
2022-05-27,285,56.99999999999999
2022-05-28,280,56.00000000000001
2022-05-29,265,53.0
2022-05-30,244,48.8
2022-05-31,238,47.599999999999994
2022-06-01,230,46.0
2022-06-02,220,44.0
2022-06-03,213,42.6
2022-06-04,204,40.8
2022-06-05,173,34.599999999999994
2022-06-06,158,31.6
2022-06-07,158,31.6
2022-06-08,148,29.599999999999998
2022-06-09,142,28.4
2022-06-10,137,27.400000000000002
2022-06-11,132,26.400000000000002
2022-06-12,114,22.8
2022-06-13,102,20.4
2022-06-14,98,19.6
2022-06-15,495,99.0
2022-06-16,489,97.8
2022-06-17,484,96.8
2022-06-18,476,95.19999999999999
2022-06-19,461,92.2
2022-06-20,440,88.0
2022-06-21,440,88.0
2022-06-22,432,86.4
2022-06-23,426,85.2
2022-06-24,420,84.0
2022-06-25,413,82.6
2022-06-26,389,77.8
2022-06-27,373,74.6
2022-06-28,367,73.4
2022-06-29,359,71.8
2022-06-30,354,70.8
2022-07-01,348,69.6
2022-07-02,340,68.0
2022-07-03,320,64.0
2022-07-04,295,59.0
2022-07-05,295,59.0
2022-07-06,285,56.99999999999999
2022-07-07,277,55.400000000000006
2022-07-08,267,53.400000000000006
2022-07-09,262,52.400000000000006
2022-07-10,243,48.6
2022-07-11,228,45.6
2022-07-12,222,44.4
2022-07-13,217,43.4
2022-07-14,210,42.0
2022-07-15,204,40.8
2022-07-16,198,39.6
2022-07-17,175,35.0
2022-07-18,156,31.2
2022-07-19,156,31.2
2022-07-20,147,29.4
2022-07-21,142,28.4
2022-07-22,135,27.0
2022-07-23,128,25.6
2022-07-24,105,21.0
2022-07-25,73,14.6
2022-07-26,494,98.8
2022-07-27,485,97.0
2022-07-28,475,95.0
2022-07-29,469,93.8
2022-07-30,462,92.4
2022-07-31,443,88.6
2022-08-01,424,84.8
2022-08-02,424,84.8
2022-08-03,414,82.8
2022-08-04,408,81.6
2022-08-05,402,80.4
2022-08-06,389,77.8
2022-08-07,354,70.8
2022-08-08,319,63.800000000000004
2022-08-09,309,61.8
2022-08-10,303,60.6
2022-08-11,298,59.599999999999994
2022-08-12,292,58.4
2022-08-13,282,56.39999999999999
2022-08-14,259,51.800000000000004
2022-08-15,232,46.400000000000006
2022-08-16,232,46.400000000000006
2022-08-17,222,44.4
2022-08-18,215,43.0
2022-08-19,209,41.8
2022-08-20,202,40.400000000000006
2022-08-21,187,37.4
2022-08-22,160,32.0
2022-08-23,155,31.0
2022-08-24,148,29.599999999999998
2022-08-25,142,28.4
2022-08-26,135,27.0
2022-08-27,129,25.8
2022-08-28,110,22.0
2022-08-29,79,15.8
2022-08-30,491,98.2
2022-08-31,484,96.8
2022-09-01,478,95.6
2022-09-02,467,93.4
2022-09-03,457,91.4
2022-09-04,430,86.0
2022-09-05,415,83.0
2022-09-06,415,83.0
2022-09-07,408,81.6
2022-09-08,403,80.60000000000001
2022-09-09,398,79.60000000000001
2022-09-10,394,78.8
2022-09-11,376,75.2
2022-09-12,352,70.39999999999999
2022-09-13,347,69.39999999999999
2022-09-14,343,68.60000000000001
2022-09-15,336,67.2
2022-09-16,329,65.8
2022-09-17,324,64.8
2022-09-18,303,60.6
2022-09-19,288,57.599999999999994
2022-09-20,288,57.599999999999994
2022-09-21,283,56.599999999999994
2022-09-22,279,55.800000000000004
2022-09-23,271,54.2
2022-09-24,265,53.0
2022-09-25,241,48.199999999999996
2022-09-26,226,45.2
2022-09-27,220,44.0
2022-09-28,212,42.4
