Date,Product ID,Product Name,Price per Unit,Price per Unit (sold),Quantity Sold (liters/kg),Quantity in Stock (liters/kg),Expiration Date,Total Value,Days to Expire
2021-09-10,4,Yogurt,27.07,25.29,386,162,2021-09-25,14860.6179,74
2019-05-11,4,Yogurt,68.17,65.87,9,348,2019-04-21,24377.592,39
2021-10-11,10,Ghee,44.64,48.13,420,35,2022-02-01,20319.6816,172
2022-06-15,1,Milk,81.7,80.26,103,53,2022-06-07,12824.449,51
2020-09-14,6,Curd,44.7,48.75,78,42,2020-08-10,5396.184,24
2022-07-10,8,Buttermilk,53.76,56.57,23,0,2022-06-11,1288.0896,30
2020-05-11,1,Milk,38.88,36.18,166,207,2020-05-11,14510.4048,59
2019-08-03,6,Curd,64.01,65.1,203,348,2019-06-21,35278.4714,16
2021-06-25,4,Yogurt,35.46,34.78,54,541,2021-07-09,21131.6778,73
2022-07-02,1,Milk,50.94,54.74,869,59,2022-06-17,47319.6942,44
2020-10-09,8,Buttermilk,20.18,15.64,84,34,2020-10-01,2385.6796,51
2019-07-13,3,Cheese,99.96,100.74,150,47,2019-07-07,19717.11,53
2020-03-10,5,Ice Cream,95.3,98.67,36,33,2020-03-19,6631.927,68
2019-04-02,2,Butter,77.71,80.91,279,426,2019-03-29,54819.7424,55
2020-06-09,6,Curd,65.23,61.59,108,228,2020-04-24,21947.938100000003,13
2021-10-03,4,Yogurt,80.74,83.85,362,254,2021-09-28,49741.4918,54
2020-08-17,10,Ghee,43.79,43.76,320,23,2020-12-03,15061.1326,167
2022-01-05,1,Milk,49.06,48.14,499,500,2021-12-21,49049.2068,44
2022-10-18,3,Cheese,63.08,64.22,206,5,2022-10-26,13342.0508,67
2022-05-15,4,Yogurt,76.58,81.37,490,14,2022-05-18,38621.5914,62
2021-08-25,2,Butter,13.66,8.83,18,517,2021-08-16,7309.466,50
2019-03-11,10,Ghee,16.37,12.86,458,271,2019-05-14,11937.167700000002,123
2020-11-01,8,Buttermilk,86.32,81.47,140,9,2020-11-01,12875.4912,59
2019-09-06,9,Paneer,43.22,42.79,230,444,2019-08-24,29135.4664,46
2020-09-16,3,Cheese,28.93,29.8,465,162,2020-10-01,18147.4997,74
2019-10-25,6,Curd,45.95,49.38,581,284,2019-09-06,39771.103500000005,10
2019-11-10,8,Buttermilk,52.51,53.75,556,26,2019-10-14,30570.7969,32
2022-11-23,1,Milk,78.72,75.83,163,117,2022-12-19,22049.472,85
2020-05-06,7,Lassi,67.3,67.91,135,196,2020-04-19,22296.49,42
2019-11-23,1,Milk,29.49,34.04,159,70,2019-11-25,6758.2233,61
2022-07-22,3,Cheese,75.82,77.91,3,35,2022-07-23,2896.324,60
2021-07-05,6,Curd,26.85,25.72,158,84,2021-07-08,6504.6810000000005,62
2022-10-18,3,Cheese,25.44,27.1,674,224,2022-11-25,22845.3744,97
2020-02-27,7,Lassi,99.03,103.49,597,51,2020-01-24,64184.3139,25
2019-11-16,10,Ghee,35.1,36.16,296,7,2020-02-29,10666.89,164
2022-11-13,2,Butter,95.65,96.42,281,334,2022-10-21,58847.706000000006,36
2022-04-21,1,Milk,27.19,27.0,50,55,2022-03-06,2867.7293,13
2022-04-21,4,Yogurt,82.34,78.38,552,376,2022-04-24,76459.27720000001,62
2020-06-16,4,Yogurt,98.65,99.66,7,855,2020-07-04,85108.31450000001,77
2021-08-21,1,Milk,21.58,22.4,129,775,2021-07-15,19519.7574,22
2019-01-09,9,Paneer,61.34,60.15,779,190,2018-12-15,59443.9806,34
2022-08-13,3,Cheese,27.78,23.87,39,176,2022-10-06,6000.202200000001,113
2019-06-05,8,Buttermilk,85.32,81.24,104,290,2019-06-15,33674.0976,69
2019-01-26,1,Milk,48.91,45.16,84,2,2019-01-08,4222.400299999999,41
2021-06-09,3,Cheese,64.9,63.9,36,412,2021-05-21,29101.809000000005,40
2022-12-19,8,Buttermilk,80.71,81.78,263,696,2022-12-23,77408.961,63
2020-11-18,5,Ice Cream,38.42,36.69,459,491,2020-11-25,36526.2782,66
2019-12-27,5,Ice Cream,76.05,73.34,275,386,2020-01-06,50322.285,69
2022-05-11,8,Buttermilk,46.2,41.5,313,369,2022-04-25,31525.956,43
2021-04-04,1,Milk,73.51,75.47,131,531,2021-04-13,48724.63330000001,68
2020-07-18,8,Buttermilk,67.85,65.07,9,32,2020-06-01,2808.3115,12
2021-11-11,6,Curd,34.92,34.0,187,221,2021-11-08,14272.851600000002,56
2019-03-13,6,Curd,58.83,62.34,332,244,2019-02-24,33887.8449,42
2022-03-01,1,Milk,51.59,51.83,22,37,2022-03-24,3094.8841,82
2019-11-19,2,Butter,19.17,15.52,554,217,2019-11-28,14797.8981,68
2020-08-21,8,Buttermilk,20.43,16.51,463,370,2020-08-07,17030.0394,45
2021-03-02,6,Curd,91.25,91.27,358,162,2021-01-12,47501.1,10
2022-09-03,3,Cheese,85.18,87.69,137,115,2022-10-28,21539.466600000003,114
2021-06-10,9,Paneer,59.43,64.24,217,354,2021-04-22,33950.5761,10
2019-11-18,7,Lassi,16.94,12.67,127,206,2019-10-08,5646.6102,18
2022-05-09,3,Cheese,76.59,79.62,467,74,2022-05-09,41507.950500000006,59
2021-03-02,9,Paneer,49.82,51.77,148,226,2021-02-15,18638.6584,44
2022-04-12,3,Cheese,19.12,14.62,505,451,2022-04-14,18295.163200000003,61
2022-05-17,1,Milk,93.68,98.2,480,91,2022-05-04,53550.29840000001,46
2022-01-05,1,Milk,14.61,16.3,190,44,2022-01-23,3423.4152,77
2019-06-21,1,Milk,94.83,90.06,48,14,2019-05-31,5924.0301,38
2020-02-20,5,Ice Cream,89.82,87.33,180,69,2020-02-22,22409.1918,61
2019-02-19,2,Butter,51.05,51.0,350,1,2019-02-16,17931.3125,56
2022-07-04,5,Ice Cream,60.52,61.4,148,505,2022-06-19,39526.822400000005,44
2020-10-28,10,Ghee,81.46,78.91,62,244,2020-12-11,25004.961599999995,103
2019-04-06,2,Butter,30.78,27.15,328,4,2019-05-05,10226.0394,88
2019-12-18,1,Milk,32.66,32.72,73,240,2019-11-22,10230.745,33
2019-02-24,6,Curd,42.69,41.02,167,321,2019-02-19,20868.1527,54
2021-07-21,10,Ghee,86.93,89.11,76,17,2021-08-01,8111.438300000001,70
2020-06-16,2,Butter,53.26,51.25,637,264,2020-06-04,47996.84679999999,47
2019-10-23,10,Ghee,52.64,53.69,37,14,2019-10-30,2717.8032000000003,66
2022-10-07,3,Cheese,31.29,34.02,222,32,2022-10-24,7947.66,76
2021-01-03,2,Butter,57.57,52.88,74,576,2021-01-02,37422.2271,58
2019-09-26,4,Yogurt,69.14,65.31,286,79,2019-08-25,25295.5604,27
2022-11-21,1,Milk,75.81,71.75,329,119,2022-11-20,33969.7029,58
2022-09-01,10,Ghee,60.81,60.5,127,219,2022-10-31,21098.6376,119
2022-02-06,6,Curd,82.44,81.53,25,95,2021-12-28,9933.1956,19
2022-06-15,10,Ghee,35.93,31.92,15,323,2022-06-22,12144.34,66
2020-03-15,4,Yogurt,36.85,33.43,578,149,2020-03-23,26824.2205,67
2022-01-26,4,Yogurt,48.49,51.52,69,468,2022-01-23,26041.5545,56
2020-07-13,8,Buttermilk,42.04,46.04,150,21,2020-07-02,7226.255599999999,48
2022-11-22,3,Cheese,31.84,28.5,27,324,2022-12-10,11205.1328,77
2022-01-26,1,Milk,37.3,40.12,280,553,2022-01-19,31072.392,52
2022-02-13,9,Paneer,61.72,57.35,14,150,2022-01-08,10162.8152,23
2021-11-15,8,Buttermilk,48.5,43.84,568,380,2021-11-16,46025.045,60
2020-10-19,9,Paneer,91.07,90.1,237,35,2020-09-13,24800.1824,23
2021-08-12,6,Curd,82.16,84.4,171,141,2021-08-01,25704.5776,48
2022-09-20,7,Lassi,19.1,17.16,91,182,2022-09-24,5232.445000000001,63
2021-08-25,4,Yogurt,31.5,32.86,476,44,2021-08-06,16397.955,40
2022-06-21,4,Yogurt,43.67,39.29,351,250,2022-07-12,26263.5747,80
2020-11-23,9,Paneer,24.64,22.2,284,20,2020-10-13,7513.228800000001,18
2022-12-28,2,Butter,69.0,65.63,246,741,2023-01-21,68170.62,83
2022-03-27,8,Buttermilk,86.26,88.21,35,41,2022-02-24,6601.477800000001,28
2019-08-10,1,Milk,76.65,75.13,297,216,2019-06-22,39353.643,10
2020-11-06,9,Paneer,35.2,39.54,522,31,2020-10-04,19496.928,26
2021-05-06,8,Buttermilk,57.51,60.57,267,534,2021-04-30,46091.3895,53
2022-07-02,3,Cheese,45.7,42.62,402,214,2022-07-25,28166.281000000003,82
2022-02-13,10,Ghee,23.4,27.07,219,632,2022-06-20,19925.334,186
2019-05-18,4,Yogurt,34.4,31.0,277,22,2019-04-28,10295.231999999998,39
2021-12-06,3,Cheese,29.74,31.99,195,314,2022-01-13,15153.4222,97
2019-09-17,3,Cheese,31.43,31.23,280,193,2019-09-16,14891.534,58
2020-08-12,6,Curd,93.26,91.05,805,28,2020-08-17,77738.7382,64
2021-05-14,6,Curd,80.62,84.1,153,656,2021-05-14,65261.89000000001,59
2019-02-11,10,Ghee,75.55,74.7,22,92,2019-05-12,8665.585,149
2019-09-18,2,Butter,53.43,52.59,128,12,2019-09-10,7503.1749,51
2022-09-15,4,Yogurt,49.02,49.51,435,155,2022-08-12,28962.486600000004,25
2019-01-27,10,Ghee,59.56,60.52,726,66,2019-04-19,47206.6604,141
2021-08-22,3,Cheese,99.19,100.45,631,26,2021-07-21,65191.6356,27
2020-05-01,4,Yogurt,21.33,24.84,104,135,2020-04-25,5102.562599999999,53
2020-09-16,10,Ghee,32.55,36.43,637,131,2020-12-26,25018.9065,160
2019-09-17,5,Ice Cream,29.65,26.72,198,190,2019-09-15,11519.3215,57
2022-04-27,8,Buttermilk,32.39,30.96,125,272,2022-04-13,12869.5187,45
2021-01-25,5,Ice Cream,72.6,73.86,24,10,2021-01-14,2512.686,48
2019-07-05,2,Butter,13.18,9.21,65,103,2019-06-28,2227.1564,52
2020-03-14,3,Cheese,36.46,31.88,13,24,2020-03-24,1371.9898,69
2020-07-22,10,Ghee,42.34,38.48,47,218,2020-10-13,11247.1976,142
2022-01-15,2,Butter,92.62,95.32,9,34,2022-02-08,4056.756,83
2022-04-20,6,Curd,66.24,63.97,54,356,2022-03-14,27210.7296,22
2022-05-18,7,Lassi,50.66,49.4,526,152,2022-05-11,34354.0658,52
2019-12-15,9,Paneer,15.66,17.37,24,283,2019-12-02,4811.535,46
2021-04-01,9,Paneer,98.36,102.76,10,121,2021-03-20,12895.9796,47
2021-12-01,8,Buttermilk,77.24,79.92,61,731,2021-12-07,61226.60319999999,65
2022-08-26,5,Ice Cream,42.12,43.16,509,390,2022-07-28,37898.3124,30
2020-11-16,1,Milk,69.91,73.41,23,193,2020-11-14,15160.6826,57
2020-02-06,7,Lassi,75.29,73.5,42,833,2020-02-20,65922.41820000001,73
2019-11-14,9,Paneer,84.02,82.4,312,290,2019-11-17,50637.1736,62
2019-01-27,6,Curd,15.77,15.86,105,758,2018-12-24,13624.9646,25
2021-10-06,10,Ghee,39.28,39.66,75,359,2021-12-23,17061.268,137
2022-10-04,7,Lassi,13.37,12.75,471,85,2022-10-02,7443.079,57
2020-06-04,10,Ghee,76.7,77.97,387,1,2020-08-28,29771.105,144
2020-06-27,10,Ghee,28.79,28.39,186,511,2020-07-23,20085.9193,85
2022-04-24,9,Paneer,29.42,25.45,672,173,2022-03-15,24882.5534,19
2020-09-20,8,Buttermilk,97.04,98.75,85,749,2020-09-23,80934.2712,62
2022-10-20,7,Lassi,12.84,11.32,286,687,2022-10-28,12493.4484,67
2022-01-12,7,Lassi,53.68,56.13,204,365,2021-12-24,30570.2232,40
2022-12-22,1,Milk,80.86,80.5,284,78,2022-11-22,29285.0662,29
2021-03-26,3,Cheese,92.86,88.29,177,115,2021-04-10,27129.9776,74
2020-12-02,6,Curd,78.94,81.44,270,17,2020-10-30,22720.5108,26
2022-08-08,4,Yogurt,51.29,54.49,51,27,2022-08-10,4031.9069,61
2022-03-11,5,Ice Cream,79.44,82.88,766,78,2022-02-04,67105.3512,24
2022-12-15,10,Ghee,93.08,92.73,324,102,2023-03-14,39696.7584,148
2019-09-14,2,Butter,17.04,12.58,12,27,2019-10-17,666.7752,92
2021-06-12,8,Buttermilk,93.25,95.65,728,50,2021-06-23,72620.3025,70
2022-07-06,4,Yogurt,78.1,73.22,301,229,2022-07-30,41410.182,83
2020-08-24,9,Paneer,39.71,36.83,165,206,2020-07-31,14756.236,35
2022-06-03,8,Buttermilk,24.68,24.14,43,436,2022-05-21,11835.0472,46
2021-05-21,8,Buttermilk,11.93,15.44,77,192,2021-04-05,3217.4017,13
2021-09-23,2,Butter,46.38,42.91,29,24,2021-09-06,2473.9092000000005,42
2020-11-26,5,Ice Cream,70.72,71.88,63,225,2020-11-04,20375.8464,37
2020-01-14,8,Buttermilk,52.36,50.56,16,86,2019-12-12,5343.338,26
2020-02-16,1,Milk,46.59,44.83,485,448,2020-03-03,43481.5152,75
2022-09-10,3,Cheese,96.89,97.48,67,140,2022-10-12,20090.1415,91
2019-03-03,3,Cheese,61.66,58.3,70,317,2019-03-16,23877.2184,72
2020-07-15,1,Milk,65.09,69.31,658,288,2020-06-30,61632.4192,44
2021-05-22,7,Lassi,67.47,67.63,42,71,2021-05-04,7674.7125,41
2022-07-22,5,Ice Cream,50.34,48.09,155,493,2022-07-26,32628.8778,63
2022-08-01,2,Butter,80.81,84.86,241,94,2022-08-03,27122.2603,61
2022-01-04,4,Yogurt,72.01,69.31,302,33,2021-12-21,24178.7977,45
2022-10-19,8,Buttermilk,24.08,27.5,1,139,2022-10-17,3383.24,57
2021-12-23,8,Buttermilk,23.66,19.21,193,8,2021-12-10,4766.307,46
2019-01-20,2,Butter,80.1,83.02,197,13,2019-01-09,16849.836,48
2020-04-08,7,Lassi,29.07,29.66,6,47,2020-04-12,1566.2916,63
2019-03-22,9,Paneer,50.15,54.01,2,2,2019-03-28,236.2065,65
2019-06-28,7,Lassi,43.71,40.43,36,332,2019-06-28,16105.8237,59
2019-06-03,5,Ice Cream,26.14,28.05,218,257,2019-06-02,12418.3298,58
2020-01-06,4,Yogurt,80.55,76.53,107,144,2020-01-03,20276.8515,56
2020-08-10,4,Yogurt,69.41,70.15,127,709,2020-07-19,58043.4184,37
2022-02-06,3,Cheese,57.09,52.51,71,522,2022-03-05,33908.605500000005,86
2021-02-09,2,Butter,54.62,52.51,13,52,2021-03-01,3596.7269999999994,79
2021-01-28,8,Buttermilk,68.4,70.12,494,374,2020-12-18,59375.304,18
2019-02-26,7,Lassi,68.23,71.74,45,14,2019-01-16,4037.169100000001,18
2019-08-04,10,Ghee,71.54,68.14,353,535,2019-12-08,63535.38940000001,185
2022-04-16,4,Yogurt,32.46,33.61,138,10,2022-05-10,4831.671,83
2020-04-25,7,Lassi,72.75,72.56,488,210,2020-04-22,50804.235,56
2020-08-20,8,Buttermilk,36.59,40.62,301,538,2020-08-07,30723.8912,46
2019-03-13,10,Ghee,17.43,14.47,322,293,2019-07-27,10733.5683,195
2021-03-09,3,Cheese,84.66,83.14,32,306,2021-03-25,28681.9614,75
2022-12-13,3,Cheese,14.47,9.96,8,92,2023-03-01,1450.7622,137
2021-10-10,10,Ghee,83.62,85.71,57,685,2021-12-23,62071.126,133
2019-04-18,8,Buttermilk,93.66,91.36,518,124,2019-04-17,60190.599,58
2021-09-24,6,Curd,38.34,41.03,708,137,2021-09-02,32427.588600000003,37
2022-01-19,2,Butter,85.78,81.71,424,98,2022-01-10,44842.3528,50
2021-03-24,7,Lassi,47.43,44.5,8,442,2021-03-23,21371.4837,58
2020-10-14,6,Curd,49.56,45.74,285,410,2020-10-06,34445.1912,51
2019-02-13,6,Curd,91.21,94.56,287,488,2019-02-15,70738.82759999999,61
2022-12-24,2,Butter,25.11,27.85,304,108,2023-01-20,10359.6327,86
2021-09-22,5,Ice Cream,27.1,28.69,21,6,2021-08-20,749.0440000000001,26
2020-02-05,8,Buttermilk,92.0,94.57,45,42,2020-01-24,8085.88,47
2019-02-28,3,Cheese,36.58,34.52,397,171,2019-04-19,20805.6066,109
2019-05-15,1,Milk,63.42,59.26,605,13,2019-05-19,39194.8284,63
2022-09-10,1,Milk,52.41,54.67,625,241,2022-09-20,45387.5841,69
2020-06-07,10,Ghee,21.99,26.04,96,305,2020-08-03,8824.8069,116
2020-01-16,4,Yogurt,44.12,46.39,443,492,2020-02-04,41264.5536,78
2021-12-17,5,Ice Cream,73.27,69.79,636,10,2021-12-23,47370.5204,65
2020-05-06,10,Ghee,11.32,15.57,26,274,2020-05-19,3404.1504000000004,72
2019-10-02,9,Paneer,58.57,57.7,310,384,2019-09-25,40678.6221,52
2021-01-11,8,Buttermilk,88.87,89.44,539,76,2020-12-08,54736.8104,25
2021-02-06,7,Lassi,96.16,92.15,211,511,2021-02-08,69508.2944,61
2019-11-14,2,Butter,10.89,13.1,163,675,2019-10-30,9129.304800000002,44
2020-09-08,4,Yogurt,42.22,45.82,849,103,2020-09-30,40209.0614,81
2021-09-07,8,Buttermilk,86.24,88.22,277,239,2021-07-29,44552.4464,19
2020-03-11,8,Buttermilk,18.28,23.06,22,453,2020-02-27,8686.656,46
2020-09-28,7,Lassi,39.35,38.59,258,564,2020-10-08,32347.274,69
2020-06-12,9,Paneer,16.08,15.02,146,417,2020-06-10,9059.7936,57
2019-11-25,9,Paneer,60.51,59.43,578,78,2019-11-23,39701.2161,57
2021-05-17,4,Yogurt,22.6,22.12,545,15,2021-05-19,12663.006,61
2021-11-08,5,Ice Cream,65.38,64.04,18,49,2021-10-13,4386.998,33
2020-06-13,1,Milk,38.7,34.09,77,10,2020-05-26,3388.185,41
2019-07-03,1,Milk,77.2,75.52,299,521,2019-05-07,63341.828,2
2022-09-14,3,Cheese,81.66,85.86,552,364,2022-09-19,74878.9536,64
2022-10-10,10,Ghee,37.06,32.62,108,81,2022-12-15,7029.540800000001,125
2019-10-02,10,Ghee,30.69,32.2,412,245,2020-02-10,20168.8542,190
2022-06-03,3,Cheese,87.72,89.33,6,56,2022-08-02,5445.6576,119
2022-10-03,2,Butter,46.33,51.25,209,710,2022-11-01,42620.3569,88
2021-10-01,10,Ghee,23.64,24.3,327,412,2021-11-05,17482.0164,94
2022-06-18,1,Milk,55.16,50.52,359,309,2022-05-21,36873.3568,31
2022-10-18,6,Curd,37.16,33.24,485,18,2022-10-03,18697.054,44
2022-09-16,2,Butter,17.92,18.7,225,41,2022-08-20,4768.870400000001,32
2019-04-13,7,Lassi,40.98,43.31,7,5,2019-03-15,526.593,30
2021-06-19,5,Ice Cream,30.55,28.1,89,81,2021-06-25,5217.329,65
2020-03-14,3,Cheese,58.8,60.94,150,79,2020-03-22,13486.956,67
2019-12-26,9,Paneer,58.57,62.19,278,594,2019-12-31,51085.9254,64
2019-03-13,5,Ice Cream,24.66,26.64,202,31,2019-03-14,5754.411,60
2019-07-11,8,Buttermilk,12.7,13.76,687,115,2019-06-16,10186.161999999998,34
2022-11-17,8,Buttermilk,95.16,99.2,316,275,2022-11-05,56273.8176,47
2020-03-24,1,Milk,33.75,29.93,326,456,2020-02-19,26413.425,25
2021-01-13,6,Curd,94.88,96.9,59,111,2021-01-15,16200.759999999998,61
2021-01-06,2,Butter,78.27,74.43,157,39,2021-01-18,15383.9685,71
2019-03-11,2,Butter,93.21,96.44,112,39,2019-03-03,14090.555699999995,51
2021-02-27,9,Paneer,93.13,92.39,7,10,2021-01-09,1674.4774,10
2021-09-07,4,Yogurt,27.67,28.44,267,304,2021-10-01,15810.9147,83
2021-02-02,3,Cheese,43.59,42.04,342,189,2021-03-22,23167.2132,107
2020-02-01,1,Milk,77.83,78.58,187,74,2020-01-18,20363.4412,45
2019-12-26,7,Lassi,86.99,88.32,122,584,2019-12-07,61494.9708,40
2022-06-12,9,Paneer,23.8,25.54,203,214,2022-05-30,9935.072,46
2022-11-22,10,Ghee,88.75,86.24,138,188,2023-03-05,28998.175,162
2019-10-12,9,Paneer,61.89,66.35,373,136,2019-10-23,31516.244700000003,70
2022-02-14,5,Ice Cream,19.37,21.21,48,781,2022-02-01,16076.9063,46
2020-04-02,6,Curd,29.51,28.49,198,151,2020-02-27,10317.5813,24
2019-09-02,2,Butter,40.04,38.89,84,142,2019-09-25,9061.8528,82
2022-07-16,8,Buttermilk,18.29,19.72,459,197,2022-06-12,12007.2021,25
2022-04-14,7,Lassi,91.92,94.75,182,355,2022-03-19,49442.8488,33
2020-09-01,4,Yogurt,45.8,48.75,495,488,2020-08-30,45062.162,57
2021-10-06,3,Cheese,59.28,56.44,631,262,2021-10-08,52975.572,61
2022-03-05,10,Ghee,33.46,38.23,332,506,2022-05-13,28056.21,128
2021-07-09,10,Ghee,16.06,14.43,24,186,2021-11-14,3383.5208,187
2020-04-24,2,Butter,19.94,21.83,183,220,2020-04-22,8042.799000000001,57
2021-12-15,3,Cheese,69.12,65.84,193,202,2022-03-09,27351.4752,143
2019-08-27,8,Buttermilk,23.56,25.16,30,23,2019-07-13,1262.816,14
2022-01-12,7,Lassi,65.4,61.18,397,528,2021-12-06,60557.78400000001,22
2019-06-19,3,Cheese,43.21,45.65,20,306,2019-07-28,14114.5465,98
2020-03-27,7,Lassi,33.02,37.04,651,70,2020-03-11,23822.279,43
2020-01-12,9,Paneer,87.32,87.8,36,212,2019-12-17,21715.6108,33
2019-02-11,5,Ice Cream,68.75,72.55,114,549,2019-01-09,45609.4375,26
2021-04-09,3,Cheese,41.2,44.9,82,313,2021-05-28,16306.136,108
2020-04-01,6,Curd,83.96,81.7,20,40,2020-03-04,5120.7204,31
2021-07-15,6,Curd,46.97,49.18,26,51,2021-06-28,3622.3264,42
2020-04-21,10,Ghee,59.73,57.12,185,1,2020-05-29,11155.7721,97
2021-09-01,10,Ghee,38.38,35.5,40,44,2021-11-22,3255.7754,141
2019-10-23,2,Butter,88.62,90.86,284,442,2019-10-05,64420.5366,41
2021-07-06,5,Ice Cream,39.95,35.7,331,327,2021-06-14,26325.052500000005,37
